Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout Product Success,,,,2023-10-22 18:25:29,2023-10-22 18:25:30,1.293s,FAILED
,,,,,,,
Test Cases/Page_Login/Login with valid credentials,,,,2023-10-22 18:25:29,2023-10-22 18:25:30,0.555s,FAILED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",,,,2023-10-22 18:25:30,2023-10-22 18:25:30,0.274s,FAILED
,,,,,,,
Test Cases/Page_Inventory/Add to cart,,,,2023-10-22 18:25:30,2023-10-22 18:25:30,0.280s,FAILED
"verifyElementVisible(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",,,,2023-10-22 18:25:30,2023-10-22 18:25:30,0.041s,FAILED
,,,,,,,
Test Cases/Page_Cart/Checkout Product,,,,2023-10-22 18:25:30,2023-10-22 18:25:30,0.235s,FAILED
"verifyElementVisible(findTestObject(""Object Repository/Page_Cart/button_Checkout""))",,,,2023-10-22 18:25:30,2023-10-22 18:25:30,0.039s,FAILED
