Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Remove Product Success,Firefox 118.0,,,2023-10-22 19:29:39,2023-10-22 19:30:31,52.168s,FAILED
,,,,,,,
Test Cases/Common/Open Browser,Firefox 118.0,,,2023-10-22 19:29:39,2023-10-22 19:29:47,8.058s,PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-22 19:29:39,2023-10-22 19:29:47,7.750s,PASSED
maximizeWindow(),Firefox 118.0,,,2023-10-22 19:29:47,2023-10-22 19:29:47,0.041s,PASSED
,,,,,,,
Test Cases/Common/Navigate to url,Firefox 118.0,,,2023-10-22 19:29:47,2023-10-22 19:29:53,6.186s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 118.0,,,2023-10-22 19:29:47,2023-10-22 19:29:52,4.203s,PASSED
delay(1),Firefox 118.0,,,2023-10-22 19:29:52,2023-10-22 19:29:53,1.031s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:29:53,2023-10-22 19:29:53,0.691s,PASSED
,,,,,,,
Test Cases/Page_Login/Login with valid credentials,Firefox 118.0,,,2023-10-22 19:29:53,2023-10-22 19:29:56,2.748s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:29:53,2023-10-22 19:29:54,0.319s,PASSED
"setText(findTestObject(""Page_Login/input_Swag Labs_user-name""), ValidUsername)",Firefox 118.0,,,2023-10-22 19:29:54,2023-10-22 19:29:55,0.748s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Swag Labs_password""), ValidPassword)",Firefox 118.0,,,2023-10-22 19:29:55,2023-10-22 19:29:55,0.826s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:29:55,2023-10-22 19:29:56,0.655s,PASSED
,,,,,,,
Test Cases/Page_Inventory/Add to cart,Firefox 118.0,,,2023-10-22 19:29:56,2023-10-22 19:29:58,1.688s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:29:56,2023-10-22 19:29:57,0.641s,PASSED
"click(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:29:57,2023-10-22 19:29:57,0.524s,PASSED
"cart = getText(findTestObject(""Object Repository/Page_Inventory/total_cart""))",Firefox 118.0,,,2023-10-22 19:29:57,2023-10-22 19:29:58,0.316s,PASSED
"Assert.assertEquals(""1"", cart)",Firefox 118.0,,,2023-10-22 19:29:58,2023-10-22 19:29:58,0.007s,PASSED
,,,,,,,
Test Cases/Page_Inventory/Move to cart page,Firefox 118.0,,,2023-10-22 19:29:58,2023-10-22 19:29:59,1.020s,PASSED
"click(findTestObject(""Object Repository/Page_Inventory/Shopping cart""))",Firefox 118.0,,,2023-10-22 19:29:58,2023-10-22 19:29:58,0.524s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Cart/button_Checkout""))",Firefox 118.0,,,2023-10-22 19:29:58,2023-10-22 19:29:59,0.317s,PASSED
,,,,,,,
Test Cases/Page_Cart/Remove Product,Firefox 118.0,,,2023-10-22 19:29:59,2023-10-22 19:30:31,32.243s,FAILED
"verifyElementVisible(findTestObject(""Object Repository/Page_Cart/button_Checkout""))",Firefox 118.0,,,2023-10-22 19:29:59,2023-10-22 19:29:59,0.321s,PASSED
"click(findTestObject(""Object Repository/Page_Cart/button_Remove""))",Firefox 118.0,,,2023-10-22 19:29:59,2023-10-22 19:30:00,0.526s,PASSED
"verifyElementNotVisible(findTestObject(""Object Repository/Page_Inventory/total_cart""))",Firefox 118.0,,,2023-10-22 19:30:00,2023-10-22 19:30:31,31.210s,FAILED
