Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout Product Success,,,,2023-10-22 18:27:52,2023-10-22 18:27:54,1.389s,FAILED
,,,,,,,
Test Cases/Page_Login/Login with valid credentials,,,,2023-10-22 18:27:53,2023-10-22 18:27:53,0.606s,FAILED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",,,,2023-10-22 18:27:53,2023-10-22 18:27:53,0.316s,FAILED
,,,,,,,
Test Cases/Page_Inventory/Add to cart,,,,2023-10-22 18:27:53,2023-10-22 18:27:54,0.317s,FAILED
"verifyElementVisible(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",,,,2023-10-22 18:27:54,2023-10-22 18:27:54,0.052s,FAILED
,,,,,,,
Test Cases/Page_Cart/Checkout Product,,,,2023-10-22 18:27:54,2023-10-22 18:27:54,0.275s,FAILED
"verifyElementVisible(findTestObject(""Object Repository/Page_Cart/button_Checkout""))",,,,2023-10-22 18:27:54,2023-10-22 18:27:54,0.044s,FAILED
