Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add to cart success,Firefox 118.0,,,2023-10-22 19:54:16,2023-10-22 19:54:36,19.859s,PASSED
,,,,,,,
Test Cases/Common/Open Browser,Firefox 118.0,,,2023-10-22 19:54:17,2023-10-22 19:54:28,11.362s,PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-22 19:54:17,2023-10-22 19:54:28,11.071s,PASSED
maximizeWindow(),Firefox 118.0,,,2023-10-22 19:54:28,2023-10-22 19:54:28,0.040s,PASSED
,,,,,,,
Test Cases/Common/Navigate to url,Firefox 118.0,,,2023-10-22 19:54:28,2023-10-22 19:54:32,3.837s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 118.0,,,2023-10-22 19:54:28,2023-10-22 19:54:30,2.181s,PASSED
delay(1),Firefox 118.0,,,2023-10-22 19:54:30,2023-10-22 19:54:31,1.038s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:54:31,2023-10-22 19:54:32,0.361s,PASSED
,,,,,,,
Test Cases/Page_Login/Login with valid credentials,Firefox 118.0,,,2023-10-22 19:54:32,2023-10-22 19:54:35,2.773s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:54:32,2023-10-22 19:54:32,0.317s,PASSED
"setText(findTestObject(""Page_Login/input_Swag Labs_user-name""), ValidUsername)",Firefox 118.0,,,2023-10-22 19:54:32,2023-10-22 19:54:33,0.788s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Swag Labs_password""), ValidPassword)",Firefox 118.0,,,2023-10-22 19:54:33,2023-10-22 19:54:34,0.710s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:54:34,2023-10-22 19:54:35,0.769s,PASSED
,,,,,,,
Test Cases/Page_Inventory/Add to cart,Firefox 118.0,,,2023-10-22 19:54:35,2023-10-22 19:54:36,1.682s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:54:35,2023-10-22 19:54:35,0.559s,PASSED
"click(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:54:35,2023-10-22 19:54:36,0.536s,PASSED
"cart = getText(findTestObject(""Object Repository/Page_Inventory/total_cart""))",Firefox 118.0,,,2023-10-22 19:54:36,2023-10-22 19:54:36,0.350s,PASSED
"Assert.assertEquals(""1"", cart)",Firefox 118.0,,,2023-10-22 19:54:36,2023-10-22 19:54:36,0.007s,PASSED
