Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Success,Firefox 118.0,,,2023-10-22 19:41:29,2023-10-22 19:41:45,15.779s,PASSED
,,,,,,,
Test Cases/Common/Open Browser,Firefox 118.0,,,2023-10-22 19:41:29,2023-10-22 19:41:37,7.525s,PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-22 19:41:29,2023-10-22 19:41:37,7.247s,PASSED
maximizeWindow(),Firefox 118.0,,,2023-10-22 19:41:37,2023-10-22 19:41:37,0.021s,PASSED
,,,,,,,
Test Cases/Common/Navigate to url,Firefox 118.0,,,2023-10-22 19:41:37,2023-10-22 19:41:42,5.218s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 118.0,,,2023-10-22 19:41:37,2023-10-22 19:41:38,0.765s,PASSED
delay(1),Firefox 118.0,,,2023-10-22 19:41:38,2023-10-22 19:41:39,1.034s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:41:39,2023-10-22 19:41:42,3.191s,PASSED
,,,,,,,
Test Cases/Page_Login/Login with valid credentials,Firefox 118.0,,,2023-10-22 19:41:42,2023-10-22 19:41:45,2.842s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:41:42,2023-10-22 19:41:42,0.309s,PASSED
"setText(findTestObject(""Page_Login/input_Swag Labs_user-name""), ValidUsername)",Firefox 118.0,,,2023-10-22 19:41:42,2023-10-22 19:41:43,0.740s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Swag Labs_password""), ValidPassword)",Firefox 118.0,,,2023-10-22 19:41:43,2023-10-22 19:41:44,0.843s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:41:44,2023-10-22 19:41:45,0.758s,PASSED
