Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout Product Success,Firefox 118.0,,,2023-10-22 19:55:35,2023-10-22 19:55:57,21.958s,PASSED
,,,,,,,
Test Cases/Common/Open Browser,Firefox 118.0,,,2023-10-22 19:55:35,2023-10-22 19:55:45,10.312s,PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-22 19:55:35,2023-10-22 19:55:45,9.970s,PASSED
maximizeWindow(),Firefox 118.0,,,2023-10-22 19:55:45,2023-10-22 19:55:45,0.029s,PASSED
,,,,,,,
Test Cases/Common/Navigate to url,Firefox 118.0,,,2023-10-22 19:55:45,2023-10-22 19:55:50,4.509s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 118.0,,,2023-10-22 19:55:45,2023-10-22 19:55:48,2.067s,PASSED
delay(1),Firefox 118.0,,,2023-10-22 19:55:48,2023-10-22 19:55:49,1.025s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:55:49,2023-10-22 19:55:50,1.125s,PASSED
,,,,,,,
Test Cases/Page_Login/Login with valid credentials,Firefox 118.0,,,2023-10-22 19:55:50,2023-10-22 19:55:52,2.757s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:55:50,2023-10-22 19:55:50,0.327s,PASSED
"setText(findTestObject(""Page_Login/input_Swag Labs_user-name""), ValidUsername)",Firefox 118.0,,,2023-10-22 19:55:50,2023-10-22 19:55:51,0.742s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Swag Labs_password""), ValidPassword)",Firefox 118.0,,,2023-10-22 19:55:51,2023-10-22 19:55:52,0.822s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Swag Labs_login-button""))",Firefox 118.0,,,2023-10-22 19:55:52,2023-10-22 19:55:52,0.680s,PASSED
,,,,,,,
Test Cases/Page_Inventory/Add to cart,Firefox 118.0,,,2023-10-22 19:55:52,2023-10-22 19:55:54,1.640s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:55:53,2023-10-22 19:55:53,0.541s,PASSED
"click(findTestObject(""Object Repository/Page_Inventory/button_Add to cart""))",Firefox 118.0,,,2023-10-22 19:55:53,2023-10-22 19:55:54,0.532s,PASSED
"cart = getText(findTestObject(""Object Repository/Page_Inventory/total_cart""))",Firefox 118.0,,,2023-10-22 19:55:54,2023-10-22 19:55:54,0.320s,PASSED
"Assert.assertEquals(""1"", cart)",Firefox 118.0,,,2023-10-22 19:55:54,2023-10-22 19:55:54,0.008s,PASSED
,,,,,,,
Test Cases/Page_Inventory/Move to cart page,Firefox 118.0,,,2023-10-22 19:55:54,2023-10-22 19:55:55,1.054s,PASSED
"click(findTestObject(""Object Repository/Page_Inventory/Shopping cart""))",Firefox 118.0,,,2023-10-22 19:55:54,2023-10-22 19:55:55,0.539s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Cart/button_Checkout""))",Firefox 118.0,,,2023-10-22 19:55:55,2023-10-22 19:55:55,0.331s,PASSED
,,,,,,,
Test Cases/Page_Cart/Checkout Product,Firefox 118.0,,,2023-10-22 19:55:55,2023-10-22 19:55:57,1.432s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Cart/button_Checkout""))",Firefox 118.0,,,2023-10-22 19:55:55,2023-10-22 19:55:56,0.324s,PASSED
"click(findTestObject(""Object Repository/Page_Cart/button_Checkout""))",Firefox 118.0,,,2023-10-22 19:55:56,2023-10-22 19:55:56,0.537s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Checkout Your Information/input_Cancel_continue""))",Firefox 118.0,,,2023-10-22 19:55:56,2023-10-22 19:55:57,0.338s,PASSED
